date,dji
2022-07-15,898169.6806093903
2022-07-18,910872.9698485648
2022-07-19,914990.7349143953
2022-07-20,925514.5069038821
2022-07-21,930266.2160534167
2022-07-22,936786.5600199646
2022-07-25,931674.0887853242
2022-07-26,923358.6140888558
2022-07-27,932511.1246940733
2022-07-28,949910.7166048059
2022-07-29,961813.6465437387
2022-08-01,970923.0197143949
2022-08-02,971271.5127560853
2022-08-03,974849.6356942496
2022-08-04,973985.3860030315
2022-08-05,975474.4432562615
2022-08-08,983245.4465207407
2022-08-10,982647.6569585903
2022-08-11,991256.8708274647
2022-08-12,993431.7545554371
2022-08-16,999770.8038272628
2022-08-17,1006752.8684436157
2022-08-18,1007385.5725708045
2022-08-19,996495.2302788505
2022-08-22,981922.2823970943
2022-08-23,986223.1042011162
2022-08-24,987127.424066042
2022-08-25,981936.4440057173
2022-08-26,982924.6893484733
2022-08-29,968535.9729005547
2022-08-30,994672.8857664608
2022-09-01,981800.6361368488
2022-09-02,982414.4146119609
2022-09-05,989809.7110522806
2022-09-06,988991.2092303929
2022-09-07,986183.1645491472
2022-09-08,997198.089840462
2022-09-09,998950.9967879904
2022-09-12,1004330.3849777832
2022-09-13,1011947.8294169633
2022-09-14,1008203.6828274768
2022-09-15,1001304.4995150464
2022-09-16,983040.2663478804
2022-09-19,988059.6755829982
2022-09-20,997724.6797942821
2022-09-21,993331.5138602991
2022-09-22,987700.2839761464
2022-09-23,970646.0525853812
2022-09-26,954712.7418845173
2022-09-27,954082.9092355745
2022-09-28,945575.1760183534
2022-09-29,942428.9495127558
2022-09-30,959419.0947299368
2022-10-03,948758.2749150663
2022-10-04,970087.158501292
2022-10-06,972703.9888356925
2022-10-07,972189.2110992032
2022-10-10,968844.8525946221
2022-10-11,954747.8522321632
2022-10-12,962743.5486694027
2022-10-13,956218.1796159241
2022-10-14,967656.321644198
2022-10-17,975859.5476455902
2022-10-18,985041.9477289151
2022-10-19,987490.9923685244
2022-10-20,989089.9489255385
2022-10-21,990831.6310035595
2022-10-24,999594.5342194715
2022-10-25,994788.0059397832
2022-10-27,998344.5275302324
2022-10-28,1001736.2001650056
2022-10-31,1014880.0655323544
2022-11-01,1021141.1280654499
2022-11-02,1017544.7973447702
2022-11-03,1016380.6739594383
2022-11-04,1018284.3987757583
2022-11-07,1022206.9685817207
2022-11-09,1019674.2595077582
2022-11-10,1012659.8907611362
2022-11-11,1032396.2786164016
2022-11-14,1029541.2461093101
2022-11-15,1033698.5592618943
2022-11-16,1035498.3887743996
2022-11-17,1031653.8709680367
2022-11-18,1030198.3578015909
2022-11-21,1021533.5416721323
2022-11-22,1026113.2231703756
2022-11-23,1027643.8515973054
2022-11-24,1040376.1166624181
2022-11-25,1040726.3064867085
2022-11-28,1044254.1132946963
2022-11-29,1047211.8664099566
2022-11-30,1054192.103721971
2022-12-01,1057275.2229670228
2022-12-02,1050330.3570461313
2022-12-05,1049764.0232229496
2022-12-06,1046284.966284277
2022-12-07,1042681.6526505897
2022-12-08,1045354.7378542669
2022-12-09,1038855.6689310884
2022-12-12,1038001.9262398161
2022-12-13,1044730.2565966012
2022-12-14,1047146.2139755108
2022-12-15,1032462.9752247551
2022-12-16,1024757.4286121142
2022-12-19,1032582.5983980546
2022-12-20,1030846.7245373952
2022-12-21,1020237.0692440011
2022-12-22,1016210.4083516161
2022-12-23,999822.2293922164
2022-12-26,1011870.0384608408
2022-12-27,1017901.3174733757
2022-12-28,1017614.8222574544
2022-12-29,1021350.4196730718
2022-12-30,1016452.9830025455
2023-01-02,1021916.9492788609
2023-01-03,1024028.8562680259
2023-01-04,1013390.8124965167
2023-01-05,1008308.9486095454
2023-01-06,
