date,ensemble,dji
2022-03-22,1004131.7230310064,968814.6368121684
2022-03-23,1000392.4946374518,963727.7478382663
2022-03-24,987258.137703858,962238.4948024286
2022-03-25,962631.7240991218,958337.7873876583
2022-03-28,966404.7467646262,962201.8834547903
2022-03-29,966290.0240787512,968051.9330334727
2022-03-30,964607.8730028692,980420.6297961029
2022-03-31,968554.7058886116,978491.3879799137
2022-04-01,967495.734712464,990322.79200617
2022-04-04,968031.1498125616,1012627.1298047827
2022-04-05,979823.7897356574,1005355.698494262
2022-04-06,972264.966127259,995898.1585862617
2022-04-07,951848.9311823128,986284.0578529774
2022-04-08,946072.6897506112,993171.1026437308
2022-04-11,942990.0305234992,985108.2527720532
2022-04-12,943833.6997129524,978622.6928488053
2022-04-13,930470.2797758186,974655.8109126354
2022-04-18,934199.2109891976,955072.2640131075
2022-04-19,918903.789510926,943317.5415081969
2022-04-20,942321.2231962288,952913.1081546197
2022-04-21,963166.9334013067,967517.838079691
2022-04-22,964483.1658994758,955580.3198800662
2022-04-25,962455.7166196906,945267.9278460167
2022-04-26,962320.4285032356,958244.3990837896
2022-04-27,947329.496893128,949269.202260271
2022-04-28,957910.6878873908,960991.8164175203
2022-04-29,936737.014623841,953303.5639352252
2022-05-02,923931.1251890266,951885.4452468486
2022-05-04,900339.2727109992,930050.3983588718
2022-05-05,904572.0720884406,930605.050486461
2022-05-06,887500.5452024543,916126.0782563967
2022-05-09,894249.4884245002,910029.6688963695
2022-05-10,906210.4535123908,908261.751948918
2022-05-11,893849.8705656135,903642.9791900056
2022-05-12,879964.3060361946,884295.1545501378
2022-05-13,863281.959219178,882011.5462140277
2022-05-16,877241.6816770637,885022.4216768416
2022-05-17,911828.6134550178,907486.8443876762
2022-05-18,913402.4456235968,905650.1424840558
2022-05-19,887843.9608366096,881988.3133445818
2022-05-20,908682.7063505256,907619.1934304754
2022-05-23,939172.575323304,906987.990303279
2022-05-24,927749.5067045296,903045.1896278551
2022-05-25,922256.556875428,897977.2263060298
2022-05-26,927067.8643247688,906385.240915067
2022-05-27,943417.0621702278,916946.0810782766
2022-05-30,953328.0513364876,934339.1469020861
2022-05-31,950397.0239774788,928335.9300633201
2022-06-01,945046.6569425666,925241.1943835451
2022-06-02,944896.23691388,932541.0141721809
2022-06-03,924133.247701844,931724.4049155009
2022-06-06,924712.0984098518,930155.4683583329
2022-06-07,933030.0363676156,920666.3421896248
2022-06-08,941475.120092591,917076.8638602144
2022-06-09,947046.705602845,924223.9079539817
2022-06-10,942829.3821317756,907235.7858237468
2022-06-13,933639.4520017708,882898.3109051303
2022-06-14,924081.0913297737,880340.0195704295
2022-06-15,925845.831899842,877797.5866269515
2022-06-16,917192.8351041876,860328.9487165732
2022-06-17,916275.7377015082,858067.3985542629
2022-06-20,913198.5162230995,862033.8889252174
2022-06-21,927064.0146972206,877641.8741929678
2022-06-22,925556.3851348428,865787.7593842194
2022-06-23,979364.405154374,873191.9965636237
2022-06-24,989391.0630370644,880914.9025674801
2022-06-27,999985.8219481972,888153.9644868622
2022-06-28,1005108.0544005898,888424.0792246069
2022-06-29,1005755.6884795692,885910.0347592442
2022-06-30,1000837.10328975,885775.9236729757
2022-07-01,992070.1870757608,883921.2750303169
2022-07-04,997692.9585448768,889381.7172196938
2022-07-05,987724.2068206336,887704.0560543878
2022-07-06,1018754.8968841104,898005.7453058836
2022-07-07,1017548.1285430458,905147.7643127202
2022-07-08,1003235.6105320444,910216.2497214993
2022-07-11,1007862.5026829232,908769.2857289228
2022-07-12,997243.1845676888,900271.86372904
2022-07-13,1001196.4246189584,894049.2398479213
2022-07-14,1014665.2207615364,892411.975160669
2022-07-15,1038692.5277073372,898169.6806093903
2022-07-18,1030978.9775364388,910872.9698485648
2022-07-19,1031509.9175999154,914990.7349143953
2022-07-20,1037154.2391941536,925514.5069038821
2022-07-21,1041543.7834780586,930266.2160534167
2022-07-22,1045880.844803132,936786.5600199646
2022-07-25,1022642.9119723212,931674.0887853242
2022-07-26,1011630.7457507028,923358.6140888558
2022-07-27,1027259.8634112251,932511.1246940733
2022-07-28,1034004.6286776436,949910.7166048059
2022-07-29,1040687.1969759834,961813.6465437387
2022-08-01,1067569.7182085884,970923.0197143949
2022-08-02,1085827.960579194,971271.5127560853
2022-08-03,1069936.9514109811,974849.6356942496
2022-08-04,1073952.2778269968,973985.3860030315
2022-08-05,1059375.103693696,975474.4432562615
2022-08-08,1068127.1633250436,983245.4465207407
2022-08-10,1064483.356074067,982647.6569585903
2022-08-11,1057374.0476634223,991256.8708274647
2022-08-12,1043963.3610179146,993431.7545554371
2022-08-16,1077590.3633982858,999770.8038272628
2022-08-17,1070297.2952830514,1006752.8684436157
2022-08-18,1071298.9038035593,1007385.5725708045
2022-08-19,1052806.0062205514,996495.2302788505
2022-08-22,1035635.9363352974,981922.2823970943
2022-08-23,1047479.0398509224,986223.1042011162
2022-08-24,1045345.1351268012,987127.424066042
2022-08-25,1047634.7796580512,981936.4440057173
2022-08-26,1045518.644037934,982924.6893484733
2022-08-29,1057381.0073191845,968535.9729005547
2022-08-30,1086347.0327098093,994672.8857664608
2022-09-01,1078534.8875071723,981800.6361368488
2022-09-02,1065953.1961582268,982414.4146119609
2022-09-05,1070116.006651696,989809.7110522806
