date,ensemble,dji
2022-10-07,726403.2118229076,800785.6263897007
2022-10-10,724103.2229610949,798218.780613457
2022-10-11,725925.9072710964,799211.2238442628
2022-10-12,725125.8808581325,798436.5949427569
2022-10-13,745316.0129191371,821065.2615506992
2022-10-14,737524.345808694,810025.4917505492
2022-10-17,750503.3878352138,825086.0179750208
2022-10-18,757989.5884654018,834324.2283740534
2022-10-19,754900.058649728,831591.1390141231
2022-10-20,749545.6522433254,829125.0857510457
2022-10-21,768149.6475588771,849597.1235695925
2022-10-24,778983.471174905,860996.8208717378
2022-10-25,786002.1092822048,870211.5414901597
2022-10-26,790151.843226144,870276.2985444344
2022-10-27,796430.8017069789,875583.6543158469
2022-10-28,816863.1159541103,898230.0984168422
2022-10-31,815573.3007914516,894708.1261294447
2022-11-01,811947.6121432277,892528.2744887637
2022-11-02,799646.1897112819,878712.8134083939
2022-11-03,798041.7352969142,874708.1795153097
2022-11-04,805316.7485148403,885695.4710101407
2022-11-07,813231.9990183803,897278.8690738353
2022-11-08,818466.4483820888,906403.5811238257
2022-11-09,799673.6513468715,888721.8089266506
2022-11-10,823096.7996546718,921561.216236777
2022-11-11,819549.6775271388,922449.2367155949
2022-11-14,813948.0508143398,916677.4773043342
2022-11-15,812423.9910113307,918214.2428149299
2022-11-16,814763.6908785793,917145.6713405991
2022-11-17,815042.206545541,916940.4560754449
2022-11-18,822066.3929621669,922389.9784054176
2022-11-21,825550.7985064479,921148.7570435975
2022-11-22,833791.7576243373,932022.6035752513
2022-11-23,836709.5031382533,934645.451123906
2022-11-25,842260.4954134914,938826.7388443562
2022-11-28,829091.0560099575,925226.3694141703
2022-11-29,828432.7235018703,925310.2919939887
2022-11-30,846276.7906710597,945461.6409213332
2022-12-01,842909.9604556056,940138.2160045485
2022-12-02,845496.2637316677,941091.2604669661
2022-12-05,834003.4738985988,927895.2355784759
2022-12-06,829300.1112009975,918307.6680787228
2022-12-07,831640.4026629421,918350.9106293927
2022-12-08,836879.9642779323,923368.2209961268
2022-12-09,829821.6328646633,915030.950455248
2022-12-12,842135.8811747524,929478.8738785632
2022-12-13,841685.4584490749,932310.6737029237
2022-12-14,839706.3130404445,928421.4066641575
2022-12-15,822060.9231707546,907534.9343754255
2022-12-16,815031.9086901637,899833.4894869885
2022-12-19,810116.456671426,895380.2541701033
2022-12-20,811539.1191279384,897900.3873144508
2022-12-21,823284.1243311855,912298.1280246429
2022-12-22,817405.5737254116,902758.928118602
2022-12-23,822881.003885934,907581.7003931869
2022-12-27,823524.341448495,908610.2324687493
2022-12-28,814711.9229800197,898610.3125475467
2022-12-29,823049.4308192226,908042.8474952687
2022-12-30,819680.6626727077,906032.4425901753
2023-01-03,819287.2042757961,
