,account_value,date,daily_return,datadate
34,894439.9378596344,2022-02-22,-0.0194021105683714,2022-02-22
35,881079.3577815094,2022-02-23,-0.0149373697579923,2022-02-23
36,878937.5032969513,2022-02-24,-0.0024309438935796,2022-02-24
37,899530.006009201,2022-02-25,0.0234288588608473,2022-02-25
38,890804.1420718231,2022-02-28,-0.0097004701111534,2022-02-28
39,867419.7697001495,2022-03-01,-0.026250857250491,2022-03-01
40,881670.8110590973,2022-03-02,0.0164292328313822,2022-03-02
41,875716.1705485382,2022-03-03,-0.0067538138224244,2022-03-03
42,865815.2677126923,2022-03-04,-0.0113060637325494,2022-03-04
43,839010.618622879,2022-03-07,-0.0309588547227004,2022-03-07
44,834498.30749617,2022-03-08,-0.0053781335141089,2022-03-08
45,852928.9536715546,2022-03-09,0.0220859000070159,2022-03-09
46,849859.8655787506,2022-03-10,-0.0035982927764295,2022-03-10
47,845689.4444056549,2022-03-11,-0.0049071868692794,2022-03-11
48,849703.1624041595,2022-03-14,0.0047460897437656,2022-03-14
49,867101.2951823273,2022-03-15,0.0204755419868525,2022-03-15
50,884931.6984454193,2022-03-16,0.0205632298811673,2022-03-16
51,894361.521962265,2022-03-17,0.0106559902119127,2022-03-17
52,902082.9136286774,2022-03-18,0.0086334121904878,2022-03-18
53,891170.947995285,2022-03-21,-0.0120964109490759,2022-03-21
54,899549.0351954498,2022-03-22,0.0094012122130007,2022-03-22
55,883546.4658061066,2022-03-23,-0.0177895464985589,2022-03-23
56,891272.7853098908,2022-03-24,0.0087446668656356,2022-03-24
57,895606.6196833649,2022-03-25,0.0048625229502181,2022-03-25
58,897431.8957873383,2022-03-28,0.0020380332881178,2022-03-28
59,909248.5573855438,2022-03-29,0.0131671959216899,2022-03-29
60,905739.0386744536,2022-03-30,-0.0038598012420073,2022-03-30
61,891061.0597811737,2022-03-31,-0.0162055274936158,2022-03-31
62,895068.8777705231,2022-04-01,0.0044978039892502,2022-04-01
63,894485.096257309,2022-04-04,,2022-04-04
64,886589.7411057816,2022-04-05,-0.0088267039714389,2022-04-05
65,881508.3906253433,2022-04-06,-0.0057313436472891,2022-04-06
66,882255.6036384049,2022-04-07,0.0008476527518148,2022-04-07
67,884432.1193055687,2022-04-08,0.0024669899042726,2022-04-08
68,873715.0804519539,2022-04-11,-0.0121174238471003,2022-04-11
69,867946.9721596336,2022-04-12,-0.0066018183975221,2022-04-12
70,879876.6591267167,2022-04-13,0.0137447186864416,2022-04-13
71,877741.4865647736,2022-04-14,-0.0024266725793843,2022-04-14
