,account_value,date,daily_return,datadate
64,1104398.167787228,2022-04-07,-0.0128497477932505,2022-04-07
65,1128767.138294228,2022-04-08,0.022065384765918,2022-04-08
66,1123219.186569222,2022-04-11,-0.0049150542541396,2022-04-11
67,1119381.0663604818,2022-04-12,-0.0034170714448561,2022-04-12
68,1115310.6948585592,2022-04-13,-0.0036362697424898,2022-04-13
69,1115213.3598404012,2022-04-18,-8.72716621536096e-05,2022-04-18
70,1093351.7347259603,2022-04-19,-0.019603087536155,2022-04-19
71,1107308.627155312,2022-04-20,0.0127652355468663,2022-04-20
72,1129597.6616630636,2022-04-21,0.0201290172957582,2022-04-21
73,1116603.348262795,2022-04-22,-0.011503488225301,2022-04-22
74,1109478.872001656,2022-04-25,-0.0063804897882701,2022-04-25
75,1137802.1182823265,2022-04-26,0.0255284232944166,2022-04-26
76,1115812.2745399557,2022-04-27,-0.0193265976473724,2022-04-27
77,1128196.457759865,2022-04-28,0.0110988053299696,2022-04-28
78,1113905.6703834615,2022-04-29,-0.0126669316129386,2022-04-29
79,1111180.9330978475,2022-05-02,-0.0024461113342533,2022-05-02
80,1080279.4411087118,2022-05-04,-0.0278095952411511,2022-05-04
81,1080401.618747719,2022-05-05,0.0001130981803025,2022-05-05
82,1071931.2600975118,2022-05-06,-0.007840009218077,2022-05-06
83,1058857.3842697225,2022-05-09,-0.0121965617707613,2022-05-09
84,1039127.7822990498,2022-05-10,-0.0186329172028014,2022-05-10
85,1039373.3963508686,2022-05-11,0.0002363655904527,2022-05-11
86,1020262.6886406024,2022-05-12,-0.0183867585771984,2022-05-12
87,1020800.345905312,2022-05-13,0.0005269792482813,2022-05-13
88,1028826.147857674,2022-05-16,0.0078622641386785,2022-05-16
89,1055493.1324348531,2022-05-17,0.0259198161251128,2022-05-17
90,1051682.5730896078,2022-05-18,-0.0036102170901434,2022-05-18
91,1028900.8230056844,2022-05-19,-0.0216621922496973,2022-05-19
92,1081592.043499001,2022-05-20,0.0512111753778097,2022-05-20
93,1072708.189708718,2022-05-23,-0.0082136826391062,2022-05-23
94,1072515.4215431295,2022-05-24,-0.0001797023341835,2022-05-24
95,1051431.5949974142,2022-05-25,-0.0196582968619509,2022-05-25
