date,ensemble,dji
2022-07-08,1104590.5411869057,910216.2497214993
2022-07-11,1117976.84203682,908769.2857289228
2022-07-12,1119661.3774982458,900271.86372904
2022-07-13,1117899.002688981,894049.2398479213
2022-07-14,1129192.9492221838,892411.975160669
2022-07-15,1124243.4413715368,898169.6806093903
2022-07-18,1115887.1467090612,910872.9698485648
2022-07-19,1114612.422618485,914990.7349143953
2022-07-20,1119247.6301609045,925514.5069038821
2022-07-21,1106339.2557941442,930266.2160534167
2022-07-22,1106093.881755448,936786.5600199646
2022-07-25,1099077.105250931,931674.0887853242
2022-07-26,1075234.5328403478,923358.6140888558
2022-07-27,1087278.328250504,932511.1246940733
2022-07-28,1085086.5941883093,949910.7166048059
2022-07-29,1060385.5591541296,961813.6465437387
2022-08-01,1070218.9852176672,970923.0197143949
2022-08-02,1064063.4997135168,971271.5127560853
2022-08-03,1068081.5805240637,974849.6356942496
2022-08-04,1079366.723361588,973985.3860030315
2022-08-05,1083891.970592118,975474.4432562615
2022-08-08,1094317.4818454748,983245.4465207407
2022-08-10,1098860.3696475988,982647.6569585903
2022-08-11,1102470.5823322302,991256.8708274647
2022-08-12,1102003.7241016394,993431.7545554371
2022-08-16,1108553.115069962,999770.8038272628
2022-08-17,1117927.458041764,1006752.8684436157
2022-08-18,1101013.819079972,1007385.5725708045
2022-08-19,1095024.7230411535,996495.2302788505
2022-08-22,1086180.566318131,981922.2823970943
2022-08-23,1094689.7293659216,986223.1042011162
2022-08-24,1094344.7293582922,987127.424066042
2022-08-25,1097733.3171421057,981936.4440057173
2022-08-26,1094125.6417499548,982924.6893484733
2022-08-29,1086065.6953693395,968535.9729005547
2022-08-30,1097136.136859513,994672.8857664608
2022-09-01,1089811.592692948,981800.6361368488
2022-09-02,1086199.45556984,982414.4146119609
2022-09-05,1090721.7610584265,989809.7110522806
2022-09-06,1099402.9454608925,988991.2092303929
2022-09-07,1100394.105861283,986183.1645491472
2022-09-08,1109367.8731952673,997198.089840462
2022-09-09,1107080.0311161047,998950.9967879904
2022-09-12,1110444.3421054846,1004330.3849777832
2022-09-13,1112404.076511002,1011947.8294169633
2022-09-14,1103012.3395496374,1008203.6828274768
2022-09-15,1093973.8046604162,1001304.4995150464
2022-09-16,1070762.24072609,983040.2663478804
2022-09-19,1075905.7997394567,988059.6755829982
2022-09-20,1101100.484790421,997724.6797942821
2022-09-21,1086245.4135318762,993331.5138602991
2022-09-22,1091258.569041825,987700.2839761464
